[09juin2024 17:39:20.204] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[09juin2024 17:39:20.217] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.11 by Oracle Corporation; OS Windows Server 2022 arch amd64 version 10.0
[09juin2024 17:39:23.841] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[09juin2024 17:39:23.922] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Administrateur/Desktop/techscape_eras/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[09juin2024 17:39:25.458] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Administrateur\Desktop\techscape_eras\libraries\net\minecraftforge\fmlcore\1.20.1-47.3.0\fmlcore-1.20.1-47.3.0.jar is missing mods.toml file
[09juin2024 17:39:25.474] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Administrateur\Desktop\techscape_eras\libraries\net\minecraftforge\javafmllanguage\1.20.1-47.3.0\javafmllanguage-1.20.1-47.3.0.jar is missing mods.toml file
[09juin2024 17:39:25.474] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Administrateur\Desktop\techscape_eras\libraries\net\minecraftforge\lowcodelanguage\1.20.1-47.3.0\lowcodelanguage-1.20.1-47.3.0.jar is missing mods.toml file
[09juin2024 17:39:25.474] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Administrateur\Desktop\techscape_eras\libraries\net\minecraftforge\mclanguage\1.20.1-47.3.0\mclanguage-1.20.1-47.3.0.jar is missing mods.toml file
[09juin2024 17:39:26.133] [main/WARN] [net.minecraftforge.jarjar.selection.JarSelector/]: Attempted to select two dependency jars from JarJar which have the same identification: Mod File:  and Mod File: . Using Mod File: 
[09juin2024 17:39:26.133] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: Found 40 dependencies adding them to mods collection
[09juin2024 17:39:35.250] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[09juin2024 17:39:35.532] [main/ERROR] [mixin/]: Mixin config kubejsoffline.mixins.json does not specify "minVersion" property
[09juin2024 17:39:35.532] [main/ERROR] [mixin/]: Mixin config kubejsoffline-common.mixins.json does not specify "minVersion" property
[09juin2024 17:39:35.751] [main/ERROR] [mixin/]: Mixin config rei.mixins.json does not specify "minVersion" property
[09juin2024 17:39:35.846] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments []
[09juin2024 17:39:35.861] [main/WARN] [mixin/]: Reference map 'createdeco-forge-refmap.json' for createdeco.mixins.json could not be read. If this is a development environment you can ignore this message
[09juin2024 17:39:35.955] [main/INFO] [ModernFix/]: Loaded configuration file for ModernFix 5.18.0+mc1.20.1: 81 options available, 0 override(s) found
[09juin2024 17:39:35.955] [main/INFO] [ModernFix/]: Applying Nashorn fix
[09juin2024 17:39:36.002] [main/INFO] [ModernFix/]: Applied Forge config corruption patch
[09juin2024 17:39:36.034] [main/WARN] [mixin/]: Reference map 'kubejspowah.refmap.json' for kubejspowah.mixins.json could not be read. If this is a development environment you can ignore this message
[09juin2024 17:39:36.078] [main/WARN] [mixin/]: Reference map 'tfmg.refmap.json' for design_decor.mixins.json could not be read. If this is a development environment you can ignore this message
